Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2444116046,2021-04-11,Shell Graphic,Sr. Process Data Engineer,"Chennai, Tamil Nadu, India",", Philippines

Job Family Group

Technical Support Jobs



Regular



March 11, 2021



Upstream



Early Careers





To support the delivery and maintenance of standard, consistent and realistic risk management plan, system and register for each project.




Assist the team to adhere to Company and Project HSE Goals and ensure subcontractors are included in all HSE related initiatives.

Support personal safety within the team and the wellbeing of co-workers by regularly addressing HSE behaviour.



Establish and maintain risk management system: Sound understanding of and ability to apply both qualitative and quantitative Risk Management theories, tools and techniques. Identify appropriate responsible parties for risk ownerships and allocate register entries. Structure and populate the risk management tool, enable user training and establish/implement the process for regular status reviews.

Organise, frame and facilitate risk workshops - Meeting Facilitation. Engage with multiple project and stakeholder personnel to gather data in order to develop/refresh the Opportunity/Risk Register.

Assist in performing Probabilistic Cost and Schedule Risk Analysis- Build simplified project schedule model, map the Technical, Economic, Commercial, Organisational and Political (TECOP) parameters and Opportunity/Risk Register entries to the model elements, and quantify these impacts into duration/ cost ranges (including the unknown unknowns). Assess and establish appropriate probability distributions for each element. Analyse and iterate the model output and develop overview presentation material to explain the results and key schedule risk areas.

Develop overview reports of risk/opportunity status for management. implement and manage risk management plans utilizing Company’s risk management standards

Maintain and manage risk registers. Present risk management status to Project Leadership Team and generate monthly risk management reports

Interface with project team members to discuss and challenge risk status and close out references.

Interpret and explain Cost Schedule and Risk Analysis output to Project Leadership and Review teams

Assist with knowledge management and enable the function to communicate best practices and share knowledge across the Group.

Support the delivery of PRM in accordance with best practice; consistently strive to mitigate risk, promote safety and integrity.

Assist improvement and ensure that Project Risk Management (PRM) capitalises from Lessons Learned.

Support the evaluation of Project Risk Requirements of the Project and develop and implement the Project Risk Management Plan in accordance with the Contract requirements and Group requirements.

Oversee the project risk and opportunity related activities to ensure correct and effective implementation of the PRM plan.

Support standard project risk management control co-ordination methods, processes and procedures and provide training where required.

Maintain awareness of each Project requirement in respect of PRM and remain up to date with activities progress.

Ensure work performed is in compliance with Group PRM processes and procedures.

Support the identification and delivery of continuous improvement ideas. Drive the continuous evolution of the planning and cost engineering weekly huddle.

PSIF – ensure the PSIF is delivered scalably for each front-end opportunity

Customer feedback – ensure customer feedback is received after the completion of each opportunity.



Develop good working relationships with the Projects and Technology function.

Careful time management is required in order to manage multiple projects simultaneously.

Be able to work proactively, both alone and as part of the project team.

Maintain and promote realism in project risks in the face of delivery pressure and optimism from business partners.

Ensure adherence to the established policies and manage change control process effectively.



Engineering Degree and/or Certification as a Risk Management Analyst or equivalent experience.



Excellent analytical, oral and written communication skills.

Experience with risk / opportunity brainstorming workshops.

Fully versed with Project Risk Tools, i.e. EasyRisk, Primavera Risk Analysis (Pertmaster) and @Risk or Crystal Ball.

Must have a “Team attitude”, be self-motivated and be willing to support other groups and projects when required.

Ability to work in a dynamic environment among multiple projects and ability to support ad-hoc requests.



This Job Description should be read in conjunction with the Job Competency Profile for “Project Practitioner PP1” and “Project Services Controls – PS-C2” as defined in P&T PS JCPs.



Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date. Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world. The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand. Shell is an Equal Opportunity Employer.
Show more",Not Applicable,Full-time,Information Technology,Oil & Energy
2499233083,2021-04-11,EMVEE Information Technologies Private Limited Graphic,"Data Engineer, Software Engineer/ Programmer","Chennai, Tamil Nadu, India","Looking for Data Engineer
Job Title: Data Engineer

Location: Chennai, Coimbatore, Pune , Bangalore, Gurgaon, Hyderabad





Looking for Data Engineer
Show more",Entry level,Full-time,Information Technology,Information Technology and Services
2499233075,2021-04-11,EMVEE Information Technologies Private Limited Graphic,"Data Scientist, Software Engineer/ Programmer","Chennai, Tamil Nadu, India","Looking for Data Scientist
Job Title: Data Scientist

Location: Chennai, Coimbatore, Pune , Bangalore, Gurgaon, Hyderabad





Looking for Data Scientist
Show more",Entry level,Full-time,EngineeringInformation Technology,Information Technology and Services
2483551419,2021-04-11,Accenture in India Graphic,Associate-Pharmacovigilance,"Chennai, Tamil Nadu, India","Skill required: Pharmacovigilance - Pharmaceutical Drug Safety Surveillance

Designation: Management Level - Associate

Job Location: Chennai

Bachelor of Dental Surgery/Bachelor of Pharmacy/Bachelor in Physiotherapy/BSc. Nursing

1-3 years



In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how do organizations sustain themselves? The key is a new operating model-one that's anchored around the customer and propelled by intelligence to deliver exceptional experiences across the enterprise at speed and at scale. You will deliver breakthrough business outcomes for clients-by harnessing talent, data and intelligence to revolutionize their operating models. Operations is one of four services that make up one Accenture -the others are Strategy and Consulting, Interactive and Technology. Visit us at www.accenture.com





You will be aligned with our Pharmaceuticals Processes vertical and help us with the processes to collect, monitor, research, assess and evaluate information on the adverse effects of medication with a view to identifying new information about hazards associated with medicines and consequently, prevent harm to patients. It also deals with the reviewing and resolving of discrepancies identified by the system or through manual checks as per guidelines. Employees under this span can also be responsible for a number of activities related to the design, development, and maintenance of Clinical Database objects.

You will be working as a part of Pharmacovigilance team which designs and maintains a safety database to monitor single case support activities; source distribution for business partners and perform medical literature searches. Responsible for data entry, MedDRA coding, and label assessment of the adverse events in SUSAR cases. If there are issues with the provided information, the scientist is contacted for verification.

Pharmaceutical Drug Safety Surveillance is the pharmacological science relating to the collection, detection, assessment, monitoring, and prevention of adverse effects with pharmaceutical products




























Please note this role may require you to work in rotational shifts.

Bachelor of Dental Surgery/Bachelor of Pharmacy/Bachelor in Physiotherapy/BSc. Nursing
Show more",Entry level,Full-time,ManagementStrategy/Planning,Information Technology and ServicesComputer SoftwareFinancial Services
2498485314,2021-04-10,ANI Calls India Private Limited Graphic,Artificial Intelligence Data Engineer,"Chennai, Tamil Nadu, India","Job Description
3+ years in applied Artificial Intelligence solutions
5+ years in Big Data
Familiarity with the Agile Software Design Life Cycle

Job Description :




Show more",Entry level,Full-time,Other,Information Technology and ServicesComputer SoftwareFinancial Services
2498483463,2021-04-10,KoreMinds LLC Graphic,Data Engineer - Python/REST API/Kubernetes (5-14 yrs) Chennai (Backend Developer),"Chennai, Tamil Nadu, India","Key Responsibilities
Acquire and demonstrate technical knowledge of Metro Solutions Platform.
Acquire knowledge of key use cases in Tool Configuration Monitoring, Tool Activity Monitoring and Tool Performance Monitoring





(ref:hirist.com)
Show more",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareInternet
2498485051,2021-04-10,Shri TirupatiI Balaji Education Foundation Graphic,"Required freshers/graduates in Data Science, AI, and machine learning","Chennai, Tamil Nadu, India","Online internship in Data Science, Machine learning &AI

Candidate need to be fresher.

Must be graduate in any field.

IIBM Institute had already trained and placed over 25,000 candidates since 2008.

Call- 9808811409, 8410755924

IIBM Institute is hiring candidates for data science from pan India. IIBM Institute had already trained and placed over 25,000 candidates since 2008.

Skills: Data Science, Python, Business Analyst

Experience: 0.00-5.00 Years

Education: Bachelor Of Technology (B.Tech/B.E)
Show more",Internship,Full-time,EducationTraining,Information Technology and ServicesStaffing and RecruitingOutsourcing/Offshoring
2498475906,2021-04-10,Careator Technologies Graphic,Lead BI Developer - SSIS/SSRS/SSAS - NBFC Domain (6-10 yrs) Any Location/Chennai (Analytics & Data Science),"Chennai, Tamil Nadu, India","Presently working from Home, but later to work from Chennai location - Global Infocity, Kandanchavadi, Chennai
Prefer candidates who are prepared to work from Chennai only
6-10 yrs of relevant exp required.
BI Developers - leads.



(ref:hirist.com)
Show more",Associate,Full-time,Business DevelopmentSales,Information Technology and ServicesComputer SoftwareInternet
2498478573,2021-04-10,KoreMinds LLC Graphic,Solution Architect - Azure Data Analytics (10-15 yrs) Chennai/Hyderabad (Analytics & Data Science),"Chennai, Tamil Nadu, India","Responsibilities
Designing and delivering Azure Data Analytics solutions
Requirements Analysis and Solution Architecture Design.
Data modelling and data architecture design.

(ref:hirist.com)
Show more",Associate,Full-time,EngineeringInformation Technology,Information Technology and ServicesComputer SoftwareInternet
2442997414,2021-04-10,PayPal Graphic,"MTS 1, Data Engineer","Chennai, Tamil Nadu, India","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.


The Data Engineer will be responsible for providing data solution and implementation of all programs under PayPal’s Regulatory Reporting team. Responsibilities will consist primarily to understand business/data requirements, build data model, design and build platform to support Compliance programs. This role requires effective communication, rich data analytics experience and familiarity with reporting tools. Assist with growing Machine Learning capabilities to support regulatory compliance pain points within PayPal and work with product and business teams to integrate solutions. Key Responsibilities:
















Show more",Not Applicable,Full-time,EngineeringInformation Technology,Computer SoftwareFinancial ServicesInternet
