Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2455971895,2021-04-18,PayPal Graphic,Data Scientist 2,"Bengaluru, Karnataka, India","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.


PayPal prides itself on providing experiences that power Customer Success on our platforms. We believe that conversational experiences and automation can provide valuable experiences for our customers by enabling immediate help in a way that is interactive and adapts to the customer's needs. The next-gen platforms that we build meet customer service needs across a variety of channels including Chatbot, Chat, Voice, Asynchronous Messaging and Self-Service. Our platform aims to resolve customer pain points efficiently, effectively and proactively through the use of AI/ML to accurately predict a customer's likelihood to need help and the intent behind seeking help. Our platforms also equip our customer support agents with tools to resolve customer problems quickly and comprehensively. These tools and experiences include AI/ML driven automation, Natural Language Understanding models, guided solution workflows, and compelling user interfaces. We are looking for a Data Scientist who will work on ML/DL models for Customer Success organisation, work with managers and operations to ensure that models meets reliability, accuracy, reusability and performance goals.




We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviours which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.

We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.

PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.

REQ ID R0067682
Show more",Not Applicable,Full-time,EngineeringInformation Technology,Computer SoftwareFinancial ServicesInternet
2414704317,2021-04-18,Databricks Graphic,"Sr Data Scientist, Customer Success","Bengaluru, Karnataka, India","You will be a first Data Scientist for the Customer Success team. You will have an opportunity to lay the foundation of the data and analytics powerhouse of the CS team and scale your team over time and use AI&ML capacities to inform business decisions.

On a weekly basis, you will build data pipelines around product telemetry, business systems data, and aggregated tables. This will become a foundation and enable you to expand the responsibilities into analytics and predictions. As part of the broader CS Organization, you will continue to strengthen your technical expertise through mentorship, continuous learning, and internal training programs.












Databricks is the data and AI company. More than 5,000 organizations worldwide — including Comcast, Condé Nast, H&M, and over 40% of the Fortune 500— rely on Databricks' Lakehouse platform to unify their data, analytics and AI. Databricks is headquartered in San Francisco, with offices around the globe. Founded by the original creators of Apache Spark™, Delta Lake and MLflow, Databricks is on a mission to help data teams solve the world's toughest problems. To learn more, follow Databricks on Twitter, LinkedIn and Facebook.



At Databricks, we are committed to fostering a diverse and inclusive culture where everyone can excel. We take great care to ensure that our hiring practices are inclusive and meet equal employment opportunity standards. Individuals looking for employment at Databricks are considered without regard to age, color, disability, ethnicity, family or marital status, gender identity or expression, language, national origin, physical and mental ability, political affiliation, race, religion, sexual orientation, socio-economic status, veteran status, and other protected characteristics.
Show more",Mid-Senior level,Full-time,Other,Computer Software
2509419735,2021-04-18,Reliance Jio Infocom Limited Graphic,"Data Engineer, Data Processing Executive, Computer Operator/ Data Entry, Software Engineer/ Programmer","Bengaluru North, Karnataka, India","Job Description : * Job Responsibilities : Responsible for gathering & processing raw data at scale (including writing scripts,web scraping,calling APIs,write SQL queries, etc.) * Skills & Competencies : 1. Statistical analysis

Job Description





Show more",Entry level,Full-time,Information Technology,Telecommunications
2509347490,2021-04-18,Thermo Fisher Scientific India Graphic,Data Engineer III,"Bengaluru, Karnataka, India","Direct message the job poster from Thermo Fisher Scientific India
Khushboo Panchal
Team Lead - Talent Acquisition at ThermoFisher Scientific India Pvt Ltd",Mid-Senior level,Full-time,Information Technology,Research
2424930122,2021-04-18,Zeta Suite Graphic,Data Scientist,"Bengaluru, Karnataka, India","Role Overview

We are looking to hire a data scientist who will work with various cross-functional teams such as product, marketing, engineering, sales and customer success to develop and deliver data structures, statistical models, reports and deep-dive analysis that will provide actionable recommendations for Zeta’s businesses. We are looking for a problem solver with strong analytical and problem-solving skills who has a good understanding of statistics and machine learning, and able to work on projects from conceptualization to execution.







Co-founded by Bhavin Turakhia (CEO) and Ramki Gaddipati (CTO), Zeta® is on a mission to make digital payments easy, inclusive and valuable for corporations, employees and merchants globally. Our products revolve around the key idea that spending and receiving money should be easy, fast, and trouble free.











Show more",Entry level,Full-time,EngineeringInformation Technology,Computer SoftwareInternetFinancial Services
2489876384,2021-04-18,Nielsen Graphic,Senior Data Scientist,"Bengaluru, Karnataka, India","About The Role

Our Data Science team is experimenting, testing, and driving major insights that impact both a global network of clients and own Nielsen direction. As a Data Scientist you will be responsible for high-quality design, execution and delivery of global analytics solutions, performance dashboards, and analytical studies. Excited? Come join us!

















Data Science is at the core of Nielsen’s business. Our team of researchers come from diverse disciplines and they drive innovation, new product ideation, experimental design and testing, complex analysis and delivery of data insights around the world. We support all International Media clients and are located where our clients are.



As the arbiter of truth, Nielsen Global Media fuels the media industry with unbiased, reliable data about what people watch and listen to. To discover what’s true, we measure across all channels and platforms⁠—from podcasts to streaming TV to social media. And when companies and advertisers are armed with the truth, they have a deeper understanding of their audiences and can accelerate growth.

Do you want to move the industry forward with Nielsen? Our people are the driving force. Your thoughts, ideas and expertise can propel us forward. Whether you have fresh thinking around maximizing a new technology or you see a gap in the market, we are here to listen and take action. Our team is made strong by a diversity of thoughts, experiences, skills, and backgrounds. You’ll enjoy working with smart, fun, curious colleagues, who are passionate about their work. Come be part of a team that motivates you to do your best work!

Show more",Not Applicable,Full-time,Other,Market ResearchManagement Consulting
2444450485,2021-04-18,GSK Graphic,Data Engineer,"Bengaluru, Karnataka, India","Site Name: India - Karnataka - Bengaluru
Posted Date: Jul 21 2020

GSK is one of the world’s foremost pharmaceutical and healthcare companies and we are proud to be leading a healthcare revolution.

By disrupting our approaches to R&D and commercial business processes, D&A is allowing us to integrate, simplify and unlock all our data to drive innovation, decision making and enable our transformation in servicing our patients, healthcare professionals and consumers.










Our values and expectations are at the heart of everything we do and form an important part of our culture. These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance and trust, the successful candidate will demonstrate the following capabilities.





Our goal is to be one of the world’s most innovative, best performing and trusted healthcare companies. We believe that we all bring something unique to GSK and when we combine our knowledge, experiences and styles together, the impact is incredible. Come join our adventure at GSK where you will be inspired to do your best work for our patients and consumers. A place where you can be you, feel good and keep growing.

Important notice to Employment businesses/ Agencies

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.

It has come to our attention that the names of GlaxoSmithKline or GSK or our group companies are being used in connection with bogus job advertisements or through unsolicited emails asking candidates to make some payments for recruitment opportunities and interview. Please be advised that such advertisements and emails are not connected with the GlaxoSmithKline group in any way.



If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that does not end in “gsk.com”, you should disregard the same and inform us by emailing askus@gsk.com, so that we can confirm to you if the job is genuine.

Show more",Not Applicable,Full-time,Strategy/PlanningAnalystInformation Technology,Pharmaceuticals
2489876321,2021-04-18,NextOrbit  Graphic,"Data Scientist - BioMedical Signal Processing, ECG, EEG & HRV","Bangalore Urban, Karnataka, India","Direct message the job poster from NextOrbit
Kishore Rajgopal
Founder and CEO at NextOrbit; Engaging Business Development Managers for our AI B2B SaaS platforms",Entry level,Full-time,EngineeringInformation Technology,Computer Software
2467181853,2021-04-18,Eli Lilly and Company Graphic,EDP- Data Engineer,"Bengaluru North, Karnataka, India","At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.



At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the globe.

The Enterprise Data program is developing a fully integrated and intuitive data and analytics platform. This platform will enable Lilly team members to quickly view, access, and analyze data sets in statistical environments, advanced analytics environments, and BI/visualization tools. Contributors can easily ingest, prepare, and analyze new data sets (cleanse, enhance, publish) for others to utilize.

This position is responsible for providing support for ETL / ELT / File Movement of data as part of an enterprise data program. The key responsibilities will be to process and move data between different compute and storage services, as well as on-premises data sources at specified intervals. The employee will also be responsible for for the creation, scheduling, orchestration and management of data pipelines.



Data engineers are responsible for ensuring the availability and quality of data needed for analysis and business transactions. This includes data integration, acquisition, cleansing, harmonization and transforming raw data into curated datasets for data science, data discovery, and BI/analytics. Responsible for developing, constructing, testing and maintaining data sets and scalable data processing systems.

Data engineers work closest with Data Architects and Data Scientists. They also work with business and IT groups beyond the data sphere, understanding the enterprise infrastructure and the many source systems.

Input is raw datasets. Output is analytics-ready, integrated/curated datasets.



All data engineer roles should have a foundational set of knowledge in: communication, leadership, teamwork, problem solving skills, solution / blueprint definition, business acumen, architectural processes (e.g. blueprinting, reference architecture, governance, etc.), technical standards, project delivery, and industry knowledge.












Bachelor’s Degree or relevant degree



Lilly is an EEO/Affirmative Action Employer, and does not discriminate on the basis of race, gender, protected veteran status, disability or any other legally protected status.

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
Show more",Entry level,Full-time,Information Technology,BiotechnologyHospital & Health CarePharmaceuticals
2467182808,2021-04-18,Eli Lilly and Company Graphic,Python Data Engineer,"Bengaluru North, Karnataka, India","At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.





How would you like a career where you get to use your best analytical skills to make a substantial difference in the well-being of people across the globe? Bring YOUR skills and talents to Lilly and our Advanced Analytical and Data Sciences organization where you’ll have the opportunity to make an impact on the lives of patients.

As an innovation driven company we work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism.

Our Advanced Analytical and Data Sciences organization is growing to support the entire Lilly enterprise, from Discovery to Development to Manufacturing and Commercialization of our medicines. To solve the complex problems of a global business and the ever-evolving data and analytics landscape, the organization generally requires advanced degrees in statistics, mathematics, econometrics, operations research and computer science. We are playing a leading role in transforming the way the company discovers and develops new treatments, identifies personalized treatment regimens, drives efficiency in our operations and optimizes our commercialization of new products. We are doing this with an emphasis in the areas of machine learning and artificial intelligence, natural language processing and other approaches to unstructured data, advanced mathematical and predictive modeling, visual analytics and more. Whether you are intrigued by the research and development of new medicines or optimizing our commercialization/business, or driving efficiency into our operations, we have a position for you. You will be encouraged to identify important business problems and to further your own research interests in these areas including presentations and publications at professional meetings. Come join us on our amazing journey to make life better!









Lilly is a global health care leader that unites caring with discovery to make life better for people around the world. For more than a century, we have stayed true to a core set of values—excellence, integrity, and respect for people—that guide us in all we do: discovering medicines that meet real needs, improving the understanding and management of disease, and giving back to communities. We also are committed to investing in our employees and supporting a culture of well-being —through competitive pay, comprehensive employee benefit programs, and training and development resources.

We’re doing extraordinary things. Join us and you could be, too!

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
Show more",Entry level,Full-time,Information Technology,BiotechnologyHospital & Health CarePharmaceuticals
