Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2509424280,2021-04-18,Career Mantra Management Services Graphic,"Field Civil Engineer Openings for Experience as well as Freshers, Usability Researcher/Specialist/Analyst/Engineer, Social Media Executive","Mumbai, Maharashtra, India","Having excellent mechanical and technical skills. 2020 passout can also apply Qualification- Being able to travel frequently. Having interpersonal skills. Field Services Engineers are required to installation and repair equipment. bike compulosry.
Requirement For MNC PVT Ltd. Companies
Direct Joining Available
Post; Civil Site Engineers
Salary : 18K to 30K
Education : Diploma in Any Specialization,Any Graduate in Any Specialization





With Details



Career Mantra
Office no.160,1st floor Mayur Trade Center,Back to Prince footware, opp.Indian Bank Chinchwad,Pune
Time: 09:30AM-5:30PM
Reg:HR Megha

HR Megha
9371274040
Apply here
Show more",Entry level,Full-time,EngineeringInformation Technology,ConstructionConstructionConstruction
2509419742,2021-04-18,Reliance Jio Infocom Limited Graphic,"Data Scientist, Software Engineer/ Programmer, Data Processing Executive, Computer Operator/ Data Entry","Mumbai, Maharashtra, India","Job Description : * Job Responsibilities : 1. This position requires the individual to stitch together fields of machine learning, data design, data mining, statistics, user behavior, computational economics and data streams to d

Job Description



























Show more",Entry level,Full-time,EngineeringInformation Technology,Telecommunications
2509415971,2021-04-18,MOURI Tech Graphic,"Senior Data Scientist, Software Engineer/ Programmer","Mumbai, Maharashtra, India","Senior Data Scientist The Group: Morningstar's Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investment offerings, including st

Senior Data Scientist
The Group: Morningstar's Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, along with real-time global market data on millions of equities, indexes, futures, options, commodities, and precious metals, in addition to foreign exchange and Treasury markets. Morningstar is one of the largest independent sources of fund, equity, and credit data and research in the world, and our advocacy for investors' interests is the foundation of our company.
The Role: As a Senior Data Scientist, you will be a leading expert and primary contributor in the implementation of Artificial Intelligence (AI) within Data Collections software applications, API's and other data products. This role requires significant interaction with both upstream and downstream stakeholders across Technology, Data, Products, Sales/Service, and Research.
The Senior Data Scientist will transition approved Data Collections AI products from a prototype phase to a fully-fledged, scalable, and consumer service. Often, these services must be integrated into Morningstar's platform of financial products, so that our clients can use these software tools in the investment decision-making process.
We are looking for an individual who possesses strong technical development skills, an ability to distill analyst requirements into the technical specifications for robust code, and a passion for investment research.
This position reports to the Senior Tech Manager of the Data Collection technology team.



Design & develop enterprise solutions to be flexible, scalable & extensible.
Improve complex data flow, data structures and db design to move to next platform.
Be a Role Model to the team to collaborate on good object-oriented designs & domain modeling. Enforce good agile practices like test driven development, Continuous Integration.
Build solutions that incorporate numerical techniques such as linear algebra, machine leaning, statistics, and optimization.
Hands-on development will be an integral part of the responsibilities.
Develop areas of continuous and automated deployment.
Introduce and follow good development practices, innovative frameworks and technology solutions that help business move faster.
Follow best practices like estimation, planning, reporting and improvement brought to processes in every day work.



Minimum of 5 years of experience in software engineering

An advanced degree in engineering, computer science, statistics or related field

Expertise with either Python or Java is essential, while experience with both is desirable; other programming language skills are highly desirable. Experience with Python packages like pandas, scikit-learn, TensorFlow, numpy, NLTK is a plus.
Basic knowledge of statistical/ML/AI algorithms
Experience with DevOps tools (e.g. Splunk, Git, uDeploy, Jenkins, Control-M) is desirable
Experience with Agile software engineering practices
Experience with back-end XML, relational, and file-based databases (e.g. SQL, Postgres, Redshift, Netezza, HDFS)
Experience developing and deploying solutions using services in the Amazon AWS ecosystem (Lambda, EC2, RDS, EMR)
Experience with the Hadoop stack (MapReduce, Pig, Hive, Nifi, Spark) is desirable
Experience with at least one statistical modeling language (e.g. R, MATLAB, Python)

Intermediate knowledge of statistical methods is desirable
Familiarity with common data cleaning and munging techniques
Familiarity with automation tools such as Puppet or Chef is a plus.
Familiarity with data visualization is a plus (e.g. Tableau, Shiny, d3)
Familiarity with statistical software, linear algebra, optimization, and information visualization is a plus.
Familiarity with mutual fund, fixed income, and equity data is a plus
Fluent in both oral and written English.
Morningstar is an equal opportunity employer.
I10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity
Show more",Associate,Full-time,Other,Information Technology and Services
2509418499,2021-04-18,MOURI Tech Graphic,"Associate Data Engineer, Software Engineer/ Programmer","Mumbai, Maharashtra, India","Role: Associate Data Engineer, Quantitative Research Job DescriptionThe Group: Morningstar's Quantitative Research Group creates independent investment research and data-driven analytics designed to help investors and Morningstar achieve better outco

Role: Associate Data Engineer, Quantitative Research
Job DescriptionThe Group: Morningstar's Quantitative Research Group creates independent investment research and data-driven analytics designed to help investors and Morningstar achieve better outcomes by making better decisions. We utilize statistical rigor and large data sets to inform the methodologies we develop. Our research encompasses hundreds of thousands of securities within a large breadth of asset classes including equities, fixed income, structured credit, and funds. Morningstar is one of the largest independent sources of fund, equity, and credit data and research in the world, and our advocacy for investors' interests is the foundation of our company.The Role: As an Associate Data Engineer, you will work along with Quant Researchers, Data Scientists to support all Data engineering initiatives. This role requires exploring Microservices, Big Data and Batch Data pipelines for structured/unstructured data to help ingest massive amounts of data required for statistical, machine learning & AI model execution. This role requires interaction with business, data collections, Development teams across Data and Research. As an Associate Data Engineer, you would be keen to develop proficiency in Big data technologies and be comfortable programming in Python.



You are an individual who possesses strong technical skills, loves cloud technology, has good problem solving & consulting skills, and has an eye for picking up challenging opportunities. You also enjoy working with cross-functional technical teams on complex problems and are always looking to improve yourself and others around you.

Build/ Support Data Engineering pipelines leveraging massive amounts of structured, unstructured financial/non-financial data.
Research varied cloud/ AWS Tools (Microservices, Big Data & Batch Services) for building data pipelines to ingest massive amounts of big data.
Program Python, SQL queries to support varied data pipeline requests.
Support/ build data-marts (SQL/NoSQL) to support various dashboarding needs.
Interacting with cross-functional business and technical teams for Building Data Dictionaries.
Effectively communicate with data and technical team to understand the requirement and gain the knowledge about integrating varied data types.
Create and track issues and validate to completion



Knowledge of programming experience in Python(Pandas/ Numpy) and OOPS principles.
Good knowledge of SQL/NoSQL (preferred)databases.
Knowledge of Hadoop stack is preferred (SQOOP, HDFS, Hive, Spark).
Good knowledge of software engineering practices.
BS degree in engineering, computer science, statistics, mathematics or equivalent practical experience
Knowledge of AWS ecosystem (Lambda, EC2, RDS, EMR, Athena, Glue)
Experience with UNIX/Linux including basic commands and shell scripting
Familiarity with mutual fund, fixed income, and equity data is a plus
Intellectual curiosity for the world of quantitative research
Fluent in both oral and written English.

Morningstar is an equal opportunity employer.I10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity
Show more",Associate,Full-time,Information Technology,Information Technology and Services
2509415975,2021-04-18,MOURI Tech Graphic,"Data Content Researcher, Software Engineer/ Programmer",Mumbai Metropolitan Region,"Job Description Title: Data Content Researcher - Equity Data Project Management / Methodology Position: EXT-9FA49 Department: Equity Collection Methodology Team (Supervisory Org): Equity Collection Methodology No. of position: 1 Shift : General The G












Morningstar's Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, along with real-time global market data on millions of equities, indexes, futures, options, commodities, and precious metals, in addition to foreign exchange and Treasury markets. Morningstar is one of the largest independent sources of fund, equity, and credit data and research in the world, and our advocacy for investors' interests is the foundation of our company.



The Equity Data team is looking for a knowledgeable, enthusiastic, creative, and results-driven candidate with 3+ years of experience in equity data to join its Equity Data Methodology team. The team's mandate is to be the experts in the field of equity data, whom our external and internal clients can trust to provide intelligent, valuable, and timely solutions. To this end as a Content Researcher you will work with content specialist, product consultants, business managers, product managers, project managers, developers, operation team leaders, quality assurance analysts and client/third-party stakeholders to define, manage and implement high quality and timely projects focused on equity data methodologies. You will work in a global environment, managing stakeholders in multiple regions.






Morningstar is an equal opportunity employer.I10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity
Show more",Entry level,Full-time,Other,Information Technology and Services
2509421091,2021-04-18,MOURI Tech Graphic,"Data Engineer, Software Engineer/ Programmer, Computer Operator/ Data Entry",Mumbai Metropolitan Region,"The Group: Morningstar's Quantitative Research Group creates independent data-driven analytics designed to help achieve better outcomes by making better decisions. We utilize analytical rigor and large data sets for informed methodologies we develo

: Morningstar's Quantitative Research Group creates independent data-driven analytics designed to help achieve better outcomes by making better decisions. We utilize analytical rigor and large data sets for informed methodologies we develop. Our research encompasses variety of data sets across Operations Analytics (People, Sales & Marketing, Investor) and Financial Analytics.
: As a Senior Software Engineer, you will design, implement, and maintain the database systems powering our statistical software applications and data products. This role requires significant interaction with both upstream and downstream stakeholders across Technology, Data, Products, Sales/Service, and Research.
The Sr. Software Engineer will work closely with developers and analysts to create database solutions that are reliable and fast. You will ensure that the data needed to build our services is ready to ingest as well as making sure the data we output is ready to be consumed by others. Data is at the core of everything we do on the quantitative research team and you will ensure our databases are well designed and maintained to power our research and products. This includes enhancing disaster recovery and backup systems.
You are an individual who possesses strong technical skills, loves cloud technology. You also enjoy working with technical teams on complex problems and are always looking to improve yourself and others around you.
This position reports to Manager of Quantitative Research team.






Experience with UNIX/Linux including basic commands and shell scripting
Morningstar is an equal opportunity employerI10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity
Show more",Entry level,Full-time,Information Technology,Information Technology and Services
2424931082,2021-04-18,Flock Graphic,Data Scientist,"Mumbai, Maharashtra, India","About Flock

Flock is an enterprise messaging and collaboration app. At Flock we believe that synchronous messaging tools, supported with internal and external applications, have the power to smash organisational hierarchies, breakdown silos in the workplace, help companies better capture innovative ideas, support individuals in making faster decisions, and also bring more personable communication style into the workplace.

With 30,000 businesses already using the platform we know that we are onto something big, and are now gearing up for a period of rapid growth.

Flock is founded by Bhavin Turakhia . Serial entrepreneur and billionaire, Bhavin Turakhia is driven by a passion for problem-solving and maximizing efficiency through technology driven innovations. In the last 22 years, he has built 5 successful businesses, all driven by his belief that “it is our moral obligation to make an impact that is proportionate to our potential”. At 17, he co-founded Resellerclub, Logicboxes and BigRock, which he exited in a $160mn transaction in 2014. He is presently heading Flock - a suite of productivity apps, Zeta - a digital payments platform, and Radix - a leading registry for top-level extensions.



We are looking to hire a data scientist who will work with various cross-functional teams such as product, marketing, engineering, sales and customer success to develop and deliver data structures, statistical models, reports and deep-dive analysis that will provide actionable recommendations for Flock business. We are looking for a problem solver with strong analytical and problem-solving skills who has a good understanding of statistics and machine learning, and able to work on projects from conceptualization to execution .









We at Flock love our jobs. And it’s no surprise – we get to work on exciting, new projects with some of the best brains in the industry, and that too in a vibrant atmosphere that is designed to be comfortable and conducive for our personal and professional growth.

And Flock goes the extra mile to make you feel at home. We offer benefits ranging from affordable catered meals and even snacks on the house. Our workspaces are welcoming and fun, complete with bean bag chairs and ping pong tables. You are free to wear what makes you comfortable and choose the hours you keep, as a team. Oh, and we’ve got your family covered too, with great health insurance plans and other benefits. In short, everything you need to be your best self at work!

We are passionate about helping teams move to the next level of communication and collaboration, and believe that happy employees are key to achieving this goal. If you like the idea of working on cutting-edge technologies and solutions that have a truly global impact, get in touch!
Show more",Entry level,Full-time,EngineeringInformation Technology,Information Technology and ServicesComputer SoftwareInternet
2508939207,2021-04-18,Appriss Retail Graphic,Senior Data Engineer,"Mumbai, Maharashtra, India","Summary

The Appriss Health Data Engineering team is seeking a driven and innovative Senior Data Engineer to join our team and help us build and maintain Health Data solutions. As a Senior Data Engineer you will be challenged to work with a team in building, designing, and supporting cloud-based software, containerized solutions and databases utilized in performing data warehousing and data reporting. You will have the opportunity to work with multiple large data models, data science tools and varying technologies used to provide valuable insights to many of the largest retailers and health systems in the nation.













Job is physically comfortable; individual has discretion about walking, standing, etc.

Job requires a very high level of judgment, exceptional analytical ability and creativity in investigating major problems that require original and highly innovative solutions. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.



Some travel may be involved for both training and customer facing issues.



The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.
Show more",Associate,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareFinancial Services
2508783882,2021-04-17,Multi-Act Trade &amp;amp;amp; Investments Graphic,Data Analyst - Python/R/VBA (2-5 yrs) Mumbai/Pune (Analytics & Data Science),"Mumbai, Maharashtra, India","www.multi-act.com

Job Description

The primary role of the 'Data Analyst - Research- would be to collect & analyse financial data to identify patterns, draw statistical inferences and to convert the data into insights for investment management.

Role and Responsibilities





(ref:hirist.com)
Show more",Entry level,Full-time,Information Technology,Financial ServicesInvestment BankingInvestment Management
2508783717,2021-04-17,TalentStack Graphic,Data Scientist - Computer Vision/NLP (1-4 yrs) Mumbai (Analytics & Data Science),"Mumbai, Maharashtra, India","What Your Average Day Would Look Like
Identify and integrate new datasets that can be leveraged through our product capabilities and work closely with the engineering team to strategize and execute the development of data products







(ref:hirist.com)
Show more",Entry level,Full-time,EngineeringInformation Technology,Information Technology and ServicesComputer SoftwareInternet
2508781391,2021-04-17,TalentStack Graphic,Tech Lead - Optical Character Recognition (4-8 yrs) Mumbai (Analytics & Data Science),"Mumbai, Maharashtra, India","What Your Average Day Would Look Like
Creating Programs to work on Parsing PDF and OCR
Work with Data Science Team to identify and integrate various Tools to ensure the program achieves very high accuracy





And Qualification

(ref:hirist.com)
Show more",Associate,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareInternet
2508781344,2021-04-17,"MudraCircle.com, CashXL FinTech Graphic",MudraCircle - Junior Business/Data Analyst - Analytics/IT Consulting (0-1 yrs) Mumbai (Analytics & Data Science),"Mumbai, Maharashtra, India","Junior Business/Data Analyst
We, at MudraCircle (www.mudracircle.com), are looking for a Business / Data Analyst for our Credit modelling team in Mumbai. Our ideal candidate comes with 0-1 years of experience working as an analyst/ consultant. He/She has excellent analytical abilities, a strong automation and solution-oriented thought process and intense curiosity.



Reporting : Create Credit underwriting model, data dashboards, graphs, and visualisations to summarize key metrics and insights to important stakeholders.

Data Discovery and Maintenance : Learn and understand a broad range of MudraCircle's data resources and know how, when and which data sources to use and maintain



Prior Experience : Candidates with 0-1 years of prior analytics / consulting / project management experience,

Educational Background : Degree or Certificate in data science. Brownie Points for Knowledge of statistical tools like R and project management software like MS Project



: Ability to communicate (written and spoken) in English fluently

More about the Remuneration : depending upon skill & experience.

(ref:hirist.com)
Show more",Associate,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareBanking
