Week,Month,Year,Google_Search_Trend_Topic_DeepLearning
20/09/2015,9,2015,4
27/09/2015,9,2015,4
4/10/2015,10,2015,4
11/10/2015,10,2015,
18/10/2015,10,2015,4
25/10/2015,10,2015,4
1/11/2015,11,2015,3
8/11/2015,11,2015,5
15/11/2015,11,2015,4
22/11/2015,11,2015,4
29/11/2015,11,2015,4
6/12/2015,12,2015,5
13/12/2015,12,2015,
20/12/2015,12,2015,4
27/12/2015,12,2015,3
3/01/2016,1,2016,4
10/01/2016,1,2016,4
17/01/2016,1,2016,6
24/01/2016,1,2016,7
31/01/2016,1,2016,6
7/02/2016,2,2016,5
14/02/2016,2,2016,5
21/02/2016,2,2016,5
28/02/2016,2,2016,5
6/03/2016,3,2016,
13/03/2016,3,2016,8
20/03/2016,3,2016,6
27/03/2016,3,2016,6
3/04/2016,4,2016,7
10/04/2016,4,2016,6
17/04/2016,4,2016,6
24/04/2016,4,2016,6
1/05/2016,5,2016,6
8/05/2016,5,2016,6
15/05/2016,5,2016,7
22/05/2016,5,2016,6
29/05/2016,5,2016,6
5/06/2016,6,2016,7
12/06/2016,6,2016,6
19/06/2016,6,2016,7
26/06/2016,6,2016,7
3/07/2016,7,2016,6
10/07/2016,7,2016,6
17/07/2016,7,2016,6
24/07/2016,7,2016,6
31/07/2016,7,2016,
7/08/2016,8,2016,6
14/08/2016,8,2016,5
21/08/2016,8,2016,6
28/08/2016,8,2016,7
4/09/2016,9,2016,6
11/09/2016,9,2016,7
18/09/2016,9,2016,6
25/09/2016,9,2016,8
2/10/2016,10,2016,8
9/10/2016,10,2016,8
16/10/2016,10,2016,8
23/10/2016,10,2016,8
30/10/2016,10,2016,8
6/11/2016,11,2016,8
13/11/2016,11,2016,9
20/11/2016,11,2016,9
27/11/2016,11,2016,9
4/12/2016,12,2016,
11/12/2016,12,2016,9
18/12/2016,12,2016,9
25/12/2016,12,2016,7
1/01/2017,1,2017,9
8/01/2017,1,2017,10
15/01/2017,1,2017,10
22/01/2017,1,2017,10
29/01/2017,1,2017,10
5/02/2017,2,2017,10
12/02/2017,2,2017,11
19/02/2017,2,2017,11
26/02/2017,2,2017,11
5/03/2017,3,2017,11
12/03/2017,3,2017,12
19/03/2017,3,2017,11
26/03/2017,3,2017,11
2/04/2017,4,2017,12
9/04/2017,4,2017,
16/04/2017,4,2017,12
23/04/2017,4,2017,12
30/04/2017,4,2017,11
7/05/2017,5,2017,12
14/05/2017,5,2017,12
21/05/2017,5,2017,12
28/05/2017,5,2017,11
4/06/2017,6,2017,11
11/06/2017,6,2017,11
18/06/2017,6,2017,11
25/06/2017,6,2017,12
2/07/2017,7,2017,11
9/07/2017,7,2017,12
16/07/2017,7,2017,13
23/07/2017,7,2017,12
30/07/2017,7,2017,
6/08/2017,8,2017,13
13/08/2017,8,2017,13
20/08/2017,8,2017,12
27/08/2017,8,2017,12
3/09/2017,9,2017,13
10/09/2017,9,2017,13
17/09/2017,9,2017,14
24/09/2017,9,2017,13
1/10/2017,10,2017,13
8/10/2017,10,2017,13
15/10/2017,10,2017,14
22/10/2017,10,2017,13
29/10/2017,10,2017,14
5/11/2017,11,2017,14
12/11/2017,11,2017,15
19/11/2017,11,2017,14
26/11/2017,11,2017,15
3/12/2017,12,2017,15
10/12/2017,12,2017,15
17/12/2017,12,2017,14
24/12/2017,12,2017,12
31/12/2017,12,2017,
7/01/2018,1,2018,15
14/01/2018,1,2018,14
21/01/2018,1,2018,14
28/01/2018,1,2018,16
4/02/2018,2,2018,15
11/02/2018,2,2018,13
18/02/2018,2,2018,14
25/02/2018,2,2018,14
4/03/2018,3,2018,14
11/03/2018,3,2018,14
18/03/2018,3,2018,15
25/03/2018,3,2018,14
1/04/2018,4,2018,14
8/04/2018,4,2018,15
15/04/2018,4,2018,15
22/04/2018,4,2018,15
29/04/2018,4,2018,14
6/05/2018,5,2018,15
13/05/2018,5,2018,
20/05/2018,5,2018,14
27/05/2018,5,2018,14
3/06/2018,6,2018,14
10/06/2018,6,2018,14
17/06/2018,6,2018,14
24/06/2018,6,2018,14
1/07/2018,7,2018,13
8/07/2018,7,2018,14
15/07/2018,7,2018,14
22/07/2018,7,2018,13
29/07/2018,7,2018,14
5/08/2018,8,2018,13
12/08/2018,8,2018,12
19/08/2018,8,2018,14
26/08/2018,8,2018,14
2/09/2018,9,2018,14
9/09/2018,9,2018,14
16/09/2018,9,2018,15
23/09/2018,9,2018,15
30/09/2018,9,2018,15
7/10/2018,10,2018,15
14/10/2018,10,2018,15
21/10/2018,10,2018,
28/10/2018,10,2018,15
4/11/2018,11,2018,15
11/11/2018,11,2018,15
18/11/2018,11,2018,14
25/11/2018,11,2018,15
2/12/2018,12,2018,16
9/12/2018,12,2018,15
16/12/2018,12,2018,13
23/12/2018,12,2018,10
30/12/2018,12,2018,11
6/01/2019,1,2019,14
13/01/2019,1,2019,15
20/01/2019,1,2019,15
27/01/2019,1,2019,15
3/02/2019,2,2019,15
10/02/2019,2,2019,15
17/02/2019,2,2019,15
24/02/2019,2,2019,15
3/03/2019,3,2019,15
10/03/2019,3,2019,15
17/03/2019,3,2019,14
24/03/2019,3,2019,16
31/03/2019,3,2019,15
7/04/2019,4,2019,16
14/04/2019,4,2019,14
21/04/2019,4,2019,15
28/04/2019,4,2019,14
5/05/2019,5,2019,14
12/05/2019,5,2019,15
19/05/2019,5,2019,15
26/05/2019,5,2019,14
2/06/2019,6,2019,14
9/06/2019,6,2019,15
16/06/2019,6,2019,15
23/06/2019,6,2019,15
30/06/2019,6,2019,14
7/07/2019,7,2019,15
14/07/2019,7,2019,15
21/07/2019,7,2019,14
28/07/2019,7,2019,
4/08/2019,8,2019,14
11/08/2019,8,2019,14
18/08/2019,8,2019,14
25/08/2019,8,2019,14
1/09/2019,9,2019,15
8/09/2019,9,2019,15
15/09/2019,9,2019,15
22/09/2019,9,2019,15
29/09/2019,9,2019,15
6/10/2019,10,2019,15
13/10/2019,10,2019,15
20/10/2019,10,2019,14
27/10/2019,10,2019,14
3/11/2019,11,2019,14
10/11/2019,11,2019,15
17/11/2019,11,2019,15
24/11/2019,11,2019,15
1/12/2019,12,2019,14
8/12/2019,12,2019,15
15/12/2019,12,2019,15
22/12/2019,12,2019,11
29/12/2019,12,2019,12
