Id,Weight
1,120
2,108
3,91
4,116
5,132
6,130
7,137
8,56
9,73
10,68
11,73
12,65
13,121
14,85
15,137
16,53
17,101
18,90
19,62
20,147
21,92
22,142
23,89
24,79
25,68
26,61
27,62
28,106
29,142
30,98
31,83
32,77
33,85
34,103
35,61
36,68
37,111
38,71
39,136
40,77
41,124
42,86
43,96
44,120
45,139
46,125
47,84
48,75
49,103
50,117
51,113
52,73
53,79
54,81
55,64
56,144
57,52
58,115
59,124
60,52
61,98
62,54
63,89
64,122
65,73
66,58
67,119
68,90
69,130
70,119
71,77
72,82
73,143
74,96
75,148
76,124
77,134
78,94
79,80
80,110
81,78
82,77
83,115
84,150
85,135
86,135
87,50
88,53
89,116
90,72
91,141
92,118
93,57
94,128
95,77
96,116
97,130
98,89
99,70
100,109
101,110
102,95
103,71
104,146
105,81
106,146
107,62
108,128
109,108
110,106
111,137
112,137
113,117
114,63
115,87
116,139
117,137
118,132
119,98
120,131
121,62
122,111
123,54
124,135
125,130
126,149
127,120
128,134
129,74
130,138
131,124
132,83
133,97
134,50
135,126
136,119
137,149
138,54
139,85
140,89
141,70
142,108
143,61
144,142
145,120
146,138
147,110
148,74
149,64
150,94
151,132
152,64
153,60
154,56
155,74
156,123
157,83
158,71
159,134
160,142
161,81
162,94
163,73
164,73
165,116
166,85
167,119
168,108
169,84
170,82
171,117
172,94
173,121
174,55
175,117
176,94
177,124
178,73
179,92
180,115
181,76
182,137
183,73
184,54
185,123
186,147
187,66
188,92
189,57
190,67
191,74
192,60
193,52
194,129
195,99
196,122
197,88
198,118
199,113
200,93
201,107
202,124
203,54
204,135
205,50
206,77
207,61
208,81
209,122
210,101
211,65
212,96
213,94
214,66
215,149
216,108
217,114
218,68
219,89
220,82
221,53
222,66
223,55
224,105
225,121
226,58
227,117
228,111
229,54
230,107
231,103
232,125
233,53
234,112
235,123
236,94
237,94
238,57
239,119
240,77
241,80
242,78
243,146
244,90
245,139
246,97
247,127
248,118
249,146
250,139
251,51
252,112
253,135
254,146
255,51
256,101
257,129
258,125
259,106
260,138
261,110
262,100
263,102
264,101
265,98
266,139
267,93
268,64
269,78
270,96
271,134
272,115
273,55
274,102
275,119
276,118
277,125
278,138
279,111
280,139
281,128
282,72
283,54
284,82
285,144
286,131
287,67
288,83
289,114
290,138
291,150
292,100
293,90
294,86
295,54
296,63
297,90
298,107
299,70
300,57
301,91
302,114
303,120
304,79
305,70
306,73
307,102
308,79
309,74
310,89
311,67
312,100
313,99
314,68
315,93
316,140
317,100
318,124
319,109
320,55
321,68
322,98
323,120
324,125
325,104
326,66
327,51
328,73
329,134
330,122
331,120
332,138
333,59
334,102
335,105
336,109
337,83
338,105
339,58
340,136
341,136
342,57
343,59
344,86
345,122
346,72
347,101
348,118
349,84
350,63
351,92
352,80
353,140
354,129
355,64
356,83
357,115
358,146
359,108
360,53
361,101
362,64
363,71
364,141
365,96
366,67
367,66
368,115
369,101
