Week,eLearning,DataScience,MachineLearning,ArtificialIntelligence,DeepLearning
20/09/2015,32,9,11,11,4
27/09/2015,35,10,11,11,4
4/10/2015,38,10,12,11,4
11/10/2015,37,9,12,10,4
18/10/2015,38,9,12,10,4
25/10/2015,38,10,12,11,4
1/11/2015,37,9,13,11,3
8/11/2015,35,8,14,12,5
15/11/2015,35,9,13,12,4
22/11/2015,31,8,12,10,4
29/11/2015,35,9,13,11,4
6/12/2015,33,9,13,12,5
13/12/2015,30,9,14,11,5
20/12/2015,17,7,11,9,4
27/12/2015,17,7,10,9,3
3/01/2016,24,10,12,14,4
10/01/2016,26,9,12,12,4
17/01/2016,26,11,13,11,6
24/01/2016,28,11,15,12,7
31/01/2016,28,11,14,11,6
7/02/2016,28,10,13,11,5
14/02/2016,30,10,13,10,5
21/02/2016,30,10,14,12,5
28/02/2016,30,10,13,11,5
6/03/2016,30,10,15,13,7
13/03/2016,27,10,15,13,8
20/03/2016,27,9,14,12,6
27/03/2016,29,9,14,12,6
3/04/2016,29,10,15,12,7
10/04/2016,29,10,14,11,6
17/04/2016,29,10,15,12,6
24/04/2016,28,10,14,12,6
1/05/2016,26,9,14,12,6
8/05/2016,28,11,15,12,6
15/05/2016,27,10,15,13,7
22/05/2016,27,10,16,12,6
29/05/2016,25,10,14,11,6
5/06/2016,25,11,15,11,7
12/06/2016,25,10,16,10,6
19/06/2016,21,10,16,10,7
26/06/2016,20,10,15,10,7
3/07/2016,17,9,14,10,6
10/07/2016,19,10,14,9,6
17/07/2016,18,10,15,9,6
24/07/2016,17,9,14,9,6
31/07/2016,18,11,15,9,6
7/08/2016,16,10,15,9,6
14/08/2016,15,10,12,8,5
21/08/2016,19,12,16,10,6
28/08/2016,21,13,15,10,7
4/09/2016,26,13,16,11,6
11/09/2016,29,14,17,11,7
18/09/2016,32,14,19,12,6
25/09/2016,33,13,18,12,8
2/10/2016,36,12,17,13,8
9/10/2016,38,12,18,16,8
16/10/2016,36,13,20,14,8
23/10/2016,35,13,19,14,8
30/10/2016,34,13,20,14,8
6/11/2016,32,13,18,14,8
13/11/2016,30,13,21,14,9
20/11/2016,28,12,21,14,9
27/11/2016,30,14,22,15,9
4/12/2016,30,13,22,16,10
11/12/2016,28,14,21,15,9
18/12/2016,22,11,20,13,9
25/12/2016,17,10,15,12,7
1/01/2017,21,13,20,14,9
8/01/2017,29,15,23,15,10
15/01/2017,26,15,23,14,10
22/01/2017,25,15,23,15,10
29/01/2017,25,16,23,14,10
5/02/2017,28,16,23,15,10
12/02/2017,27,15,25,15,11
19/02/2017,29,16,24,16,11
26/02/2017,31,17,27,15,11
5/03/2017,30,16,26,16,11
12/03/2017,29,16,26,17,12
19/03/2017,31,16,25,15,11
26/03/2017,32,16,28,17,11
2/04/2017,30,17,27,17,12
9/04/2017,28,15,26,16,11
16/04/2017,26,16,26,16,12
23/04/2017,30,16,27,18,12
30/04/2017,28,15,27,17,11
7/05/2017,26,17,27,16,12
14/05/2017,26,16,29,18,12
21/05/2017,24,17,29,18,12
28/05/2017,25,16,27,15,11
4/06/2017,25,15,29,14,11
11/06/2017,24,16,28,15,11
18/06/2017,20,16,28,14,11
25/06/2017,19,16,28,15,12
2/07/2017,21,15,27,14,11
9/07/2017,19,16,29,15,12
16/07/2017,18,16,28,16,13
23/07/2017,17,17,28,18,12
30/07/2017,16,17,29,23,12
6/08/2017,15,17,27,18,13
13/08/2017,15,16,28,17,13
20/08/2017,18,18,27,17,12
27/08/2017,19,18,28,17,12
3/09/2017,24,19,30,23,13
10/09/2017,27,20,31,21,13
17/09/2017,32,20,32,20,14
24/09/2017,34,20,31,20,13
1/10/2017,35,19,33,20,13
8/10/2017,35,20,34,22,13
15/10/2017,36,20,32,21,14
22/10/2017,34,20,35,26,13
29/10/2017,33,21,35,24,14
5/11/2017,33,21,37,25,14
12/11/2017,31,20,35,24,15
19/11/2017,29,17,33,22,14
26/11/2017,29,19,35,25,15
3/12/2017,30,20,36,25,15
10/12/2017,30,20,37,23,15
17/12/2017,24,17,32,19,14
24/12/2017,16,14,26,17,12
31/12/2017,18,19,30,20,13
7/01/2018,29,22,32,21,15
14/01/2018,27,21,34,30,14
21/01/2018,27,21,34,29,14
28/01/2018,26,22,36,27,16
4/02/2018,27,20,35,24,15
11/02/2018,27,21,34,24,13
18/02/2018,30,21,35,24,14
25/02/2018,33,21,36,24,14
4/03/2018,34,22,37,23,14
11/03/2018,34,22,36,24,14
18/03/2018,37,23,37,23,15
25/03/2018,36,22,36,21,14
1/04/2018,30,22,36,21,14
8/04/2018,33,23,36,23,15
15/04/2018,32,21,36,24,15
22/04/2018,33,22,37,23,15
29/04/2018,31,22,35,22,14
6/05/2018,31,21,37,25,15
13/05/2018,32,22,37,23,15
20/05/2018,30,23,37,22,14
27/05/2018,29,22,34,21,14
3/06/2018,30,23,37,21,14
10/06/2018,25,21,36,19,14
17/06/2018,24,21,36,17,14
24/06/2018,24,21,35,19,14
1/07/2018,24,20,34,18,13
8/07/2018,21,23,36,19,14
15/07/2018,21,23,36,19,14
22/07/2018,18,22,36,20,13
