Week,ArtificialIntelligence,DeepLearning
20/09/2015,11,4
27/09/2015,11,4
4/10/2015,11,4
11/10/2015,10,4
18/10/2015,10,4
25/10/2015,11,4
1/11/2015,11,3
8/11/2015,12,5
15/11/2015,12,4
22/11/2015,10,4
29/11/2015,11,4
6/12/2015,12,5
13/12/2015,11,5
20/12/2015,9,4
27/12/2015,9,3
3/01/2016,14,4
10/01/2016,12,4
17/01/2016,11,6
24/01/2016,12,7
31/01/2016,11,6
7/02/2016,11,5
14/02/2016,10,5
21/02/2016,12,5
28/02/2016,11,5
6/03/2016,13,7
13/03/2016,13,8
20/03/2016,12,6
27/03/2016,12,6
3/04/2016,12,7
10/04/2016,11,6
17/04/2016,12,6
24/04/2016,12,6
1/05/2016,12,6
8/05/2016,12,6
15/05/2016,13,7
22/05/2016,12,6
29/05/2016,11,6
5/06/2016,11,7
12/06/2016,10,6
19/06/2016,10,7
26/06/2016,10,7
3/07/2016,10,6
10/07/2016,9,6
17/07/2016,9,6
24/07/2016,9,6
31/07/2016,9,6
7/08/2016,9,6
14/08/2016,8,5
21/08/2016,10,6
28/08/2016,10,7
4/09/2016,11,6
11/09/2016,11,7
18/09/2016,12,6
25/09/2016,12,8
2/10/2016,13,8
9/10/2016,16,8
16/10/2016,14,8
23/10/2016,14,8
30/10/2016,14,8
6/11/2016,14,8
13/11/2016,14,9
20/11/2016,14,9
27/11/2016,15,9
4/12/2016,16,10
11/12/2016,15,9
18/12/2016,13,9
25/12/2016,12,7
1/01/2017,14,9
8/01/2017,15,10
15/01/2017,14,10
22/01/2017,15,10
29/01/2017,14,10
5/02/2017,15,10
12/02/2017,15,11
19/02/2017,16,11
26/02/2017,15,11
5/03/2017,16,11
12/03/2017,17,12
19/03/2017,15,11
26/03/2017,17,11
2/04/2017,17,12
9/04/2017,16,11
16/04/2017,16,12
23/04/2017,18,12
30/04/2017,17,11
7/05/2017,16,12
14/05/2017,18,12
21/05/2017,18,12
28/05/2017,15,11
4/06/2017,14,11
11/06/2017,15,11
18/06/2017,14,11
25/06/2017,15,12
2/07/2017,14,11
9/07/2017,15,12
16/07/2017,16,13
23/07/2017,18,12
30/07/2017,23,12
6/08/2017,18,13
13/08/2017,17,13
20/08/2017,17,12
27/08/2017,17,12
3/09/2017,23,13
10/09/2017,21,13
17/09/2017,20,14
24/09/2017,20,13
1/10/2017,20,13
8/10/2017,22,13
15/10/2017,21,14
22/10/2017,26,13
29/10/2017,24,14
5/11/2017,25,14
12/11/2017,24,15
19/11/2017,22,14
26/11/2017,25,15
3/12/2017,25,15
10/12/2017,23,15
